country,Id,YEAR,cequ,dtax
AUT,143236,2010,4488762,19799
AUT,143236,2011,4175960,598
AUT,143236,2012,4527983,89678
AUT,143236,2013,4285773,75615
AUT,143236,2014,4335172,173545
AUT,143236,2015,4255243,171203
AUT,143236,2016,3838688,186920
AUT,143236,2017,4087509,174258
AUT,143236,2018,,
AUT,143243,1980,,
AUT,143243,1981,,
AUT,143243,1982,,
AUT,143243,1983,,
AUT,143243,1984,,
AUT,143243,1985,,
AUT,143243,1986,,
AUT,143243,1987,,
AUT,143243,1988,,
AUT,143243,1989,,
AUT,143243,1990,,
AUT,143243,1991,43613,
AUT,143243,1992,38763,
AUT,143243,1993,39181,
AUT,143243,1994,54787,1192
AUT,143243,1995,54792,436
AUT,143243,1996,57289,436
AUT,143243,1997,59163,182
AUT,143243,1998,59855,153
AUT,143243,1999,59826,160
AUT,143243,2000,60144,334
AUT,143243,2001,64433,799
AUT,143243,2002,62274,400
AUT,143243,2003,62223,400
AUT,143243,2004,63242,300
AUT,143243,2005,65926,1277
AUT,143243,2006,69617,1385
AUT,143243,2007,73600,1231
AUT,143243,2008,76175,1047
AUT,143243,2009,95806,2225
AUT,143243,2010,94275,2110
AUT,143243,2011,99237,2198
AUT,143243,2012,93485,3245
AUT,143243,2013,98374,3369
AUT,143243,2014,88692,3455
AUT,143243,2015,92417,3192
AUT,143243,2016,93528,2832
AUT,143243,2017,95488,1658
AUT,143243,2018,,
AUT,143259,1980,,
AUT,143259,1981,,
AUT,143259,1982,,
AUT,143259,1983,,
AUT,143259,1984,,
AUT,143259,1985,,
AUT,143259,1986,,
AUT,143259,1987,,
AUT,143259,1988,,
AUT,143259,1989,,
AUT,143259,1990,,
AUT,143259,1991,,
AUT,143259,1992,,
AUT,143259,1993,19201,0
AUT,143259,1994,46311,0
AUT,143259,1995,50704,0
AUT,143259,1996,53449,0
AUT,143259,1997,57777,
AUT,143259,1998,46037,
AUT,143259,1999,36305,
AUT,143259,2000,25266,-4845
AUT,143259,2001,24751,-6058
AUT,143259,2002,30297,-5469
AUT,143259,2003,33261,-3018
AUT,143259,2004,38253,-6501
AUT,143259,2005,42754,-6280
AUT,143259,2006,52487,-5213
AUT,143259,2007,61630,-1922
AUT,143259,2008,79052,-1120
AUT,143259,2009,85051,711
AUT,143259,2010,111209,-321
AUT,143259,2011,125301,-2445
AUT,143259,2012,154601,-180
AUT,143259,2013,169455,23
AUT,143259,2014,174468,-3474
AUT,143259,2015,195700,-1124
AUT,143259,2016,209058,116
AUT,143259,2017,208228,-112
AUT,143259,2018,,
AUT,143539,1980,,
AUT,143539,1981,,
AUT,143539,1982,,
AUT,143539,1983,,
AUT,143539,1984,,
AUT,143539,1985,,
AUT,143539,1986,,
AUT,143539,1987,,
AUT,143539,1988,,
AUT,143539,1989,,
AUT,143539,1990,,
AUT,143539,1991,,
AUT,143539,1992,,
AUT,143539,1993,,
AUT,143539,1994,28547,997
AUT,143539,1995,43056,1315
AUT,143539,1996,52811,429
AUT,143539,1997,64112,400
AUT,143539,1998,69836,642
AUT,143539,1999,76576,-1271
AUT,143539,2000,71006,-3286
AUT,143539,2001,65926,-4026
AUT,143539,2002,60968,-5285
AUT,143539,2003,64397,-6198
AUT,143539,2004,65054,-6727
AUT,143539,2005,60894,-4571
AUT,143539,2006,63972,-4714
AUT,143539,2007,74442,-5630
AUT,143539,2008,79018,-4474
AUT,143539,2009,76818,-4871
AUT,143539,2010,79379,-4675
