Date,market,variable,return,ym
29-10-10,AUT,MOM,8.284161527,201010
30-11-10,AUT,MOM,15.26046281,201011
31-12-10,AUT,MOM,4.611027113,201012
31-01-11,AUT,MOM,-3.984707339,201101
28-02-11,AUT,MOM,2.872849554,201102
31-03-11,AUT,MOM,2.727498176,201103
29-04-11,AUT,MOM,3.214075673,201104
31-05-11,AUT,MOM,-0.923918553,201105
30-06-11,AUT,MOM,-1.57996856,201106
29-07-11,AUT,MOM,0.520000403,201107
31-08-11,AUT,MOM,-3.005639366,201108
30-09-11,AUT,MOM,-0.273663789,201109
31-10-11,AUT,MOM,4.43292967,201110
30-11-11,AUT,MOM,7.216228733,201111
30-12-11,AUT,MOM,-3.821939141,201112
31-01-12,AUT,MOM,-10.34345747,201201
29-02-12,AUT,MOM,-3.4877993,201202
30-03-12,AUT,MOM,0.757937299,201203
30-04-12,AUT,MOM,-2.29418508,201204
31-05-12,AUT,MOM,10.48945514,201205
29-06-12,AUT,MOM,-1.771785959,201206
31-07-12,AUT,MOM,-0.849208844,201207
31-08-12,AUT,MOM,-3.620950729,201208
28-09-12,AUT,MOM,3.394858191,201209
31-10-12,AUT,MOM,-0.108065051,201210
30-11-12,AUT,MOM,0.894898614,201211
31-12-12,AUT,MOM,-2.426918337,201212
31-01-13,AUT,MOM,4.568785675,201301
28-02-13,AUT,MOM,1.465104523,201302
29-03-13,AUT,MOM,0.742985117,201303
30-04-13,AUT,MOM,3.463867717,201304
31-05-13,AUT,MOM,-2.21881058,201305
28-06-13,AUT,MOM,-0.67312902,201306
31-07-13,AUT,MOM,3.697173682,201307
30-08-13,AUT,MOM,3.037901323,201308
30-09-13,AUT,MOM,-4.479677317,201309
31-10-13,AUT,MOM,-2.129871585,201310
29-11-13,AUT,MOM,-0.983206408,201311
31-12-13,AUT,MOM,0.804774847,201312
31-01-14,AUT,MOM,0.50185847,201401
28-02-14,AUT,MOM,4.049486976,201402
31-03-14,AUT,MOM,2.17830222,201403
30-04-14,AUT,MOM,-1.837863645,201404
30-05-14,AUT,MOM,1.519874606,201405
30-06-14,AUT,MOM,2.297713463,201406
31-07-14,AUT,MOM,-3.222330665,201407
29-08-14,AUT,MOM,2.51089749,201408
30-09-14,AUT,MOM,1.928472063,201409
31-10-14,AUT,MOM,5.703957879,201410
28-11-14,AUT,MOM,-0.983291994,201411
31-12-14,AUT,MOM,10.80005749,201412
30-01-15,AUT,MOM,1.084695011,201501
27-02-15,AUT,MOM,-8.124724372,201502
31-03-15,AUT,MOM,0.307454318,201503
30-04-15,AUT,MOM,-4.962491878,201504
29-05-15,AUT,MOM,4.04729973,201505
30-06-15,AUT,MOM,0.169204613,201506
31-07-15,AUT,MOM,-0.309316753,201507
31-08-15,AUT,MOM,0.095032031,201508
30-09-15,AUT,MOM,-2.832213094,201509
30-10-15,AUT,MOM,-5.180939312,201510
30-11-15,AUT,MOM,1.031305261,201511
31-12-15,AUT,MOM,9.434788924,201512
29-01-16,AUT,MOM,-0.465891849,201601
29-02-16,AUT,MOM,-2.241090243,201602
31-03-16,AUT,MOM,-1.51579063,201603
29-04-16,AUT,MOM,0.207795174,201604
31-05-16,AUT,MOM,1.140877226,201605
30-06-16,AUT,MOM,3.586344343,201606
29-07-16,AUT,MOM,-0.499855033,201607
31-08-16,AUT,MOM,3.345742451,201608
30-09-16,AUT,MOM,-0.749328148,201609
31-10-16,AUT,MOM,2.369374145,201610
30-11-16,AUT,MOM,-0.490374712,201611
30-12-16,AUT,MOM,0.131952459,201612
31-01-17,AUT,MOM,4.562770547,201701
28-02-17,AUT,MOM,-0.485834513,201702
31-03-17,AUT,MOM,-5.126735496,201703
28-04-17,AUT,MOM,1.733102416,201704
31-05-17,AUT,MOM,-0.805368422,201705
30-06-17,AUT,MOM,-0.791639711,201706
31-07-17,AUT,MOM,5.636297002,201707
31-08-17,AUT,MOM,7.200468674,201708
29-09-17,AUT,MOM,3.828926142,201709
31-10-17,AUT,MOM,2.466726586,201710
30-11-17,AUT,MOM,2.330066615,201711
29-12-17,AUT,MOM,1.311708797,201712
31-01-18,AUT,MOM,0.228915256,201801
28-02-18,AUT,MOM,-1.007589388,201802
30-03-18,AUT,MOM,0.949396777,201803
30-04-18,AUT,MOM,0.849696079,201804
31-05-18,AUT,MOM,-1.883236338,201805
29-06-18,AUT,MOM,0.196259778,201806
31-07-18,AUT,MOM,4.959715933,201807
31-08-18,AUT,MOM,5.880743952,201808
28-09-18,AUT,MOM,4.623439673,201809
31-10-18,AUT,MOM,-2.791586431,201810
